OBS#,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,DEFAULT
99,1,36,4,0,0,0,1,0,0,2337,0,4,4,0,1,0,0,0,4,1,0,36,0,0,1,1,2,1,0,0,0
100,1,20,3,0,1,0,0,0,0,7057,4,3,3,0,1,0,0,0,4,0,0,36,1,1,0,2,3,2,1,0,0
101,3,24,2,1,0,0,0,0,0,1469,1,4,4,0,0,1,0,0,4,1,0,41,0,1,0,1,1,1,0,0,0
102,1,36,2,0,0,0,1,0,0,2323,0,3,4,0,1,0,0,0,4,0,0,24,0,1,0,1,2,1,0,0,0
103,3,6,3,0,0,0,1,0,0,932,0,2,3,0,0,0,0,0,2,1,0,24,0,0,1,1,2,1,0,0,0
104,1,9,4,0,0,1,0,0,0,1919,0,3,4,0,1,0,0,0,3,0,0,35,0,1,0,1,2,1,1,0,0
105,3,12,2,0,1,0,0,0,0,2445,4,1,2,0,0,1,0,0,4,0,0,26,0,1,0,1,2,1,1,0,0
106,1,24,4,0,0,0,0,0,0,11938,0,2,2,0,1,0,1,0,3,0,0,39,0,0,1,2,3,2,1,0,1
107,3,18,1,1,0,0,0,0,0,6458,0,4,2,0,1,0,0,0,4,0,1,39,1,0,1,2,3,2,1,0,1
108,1,12,2,1,0,0,0,0,0,6078,0,3,2,0,1,0,0,0,2,0,0,32,0,0,1,1,2,1,0,0,0
109,0,24,2,0,0,1,0,0,0,7721,4,1,1,0,0,0,0,0,2,0,0,30,0,0,1,1,2,1,1,1,0
110,1,14,2,0,0,0,0,0,1,1410,2,4,1,0,0,1,0,0,2,1,0,35,0,0,1,1,2,1,1,0,0
111,1,6,3,0,0,0,0,0,1,1449,1,4,1,1,0,0,0,0,2,0,0,31,1,0,1,2,2,2,0,0,0
112,2,15,2,0,0,0,0,1,0,392,0,1,4,0,0,0,0,0,4,0,0,23,0,1,0,1,2,1,1,0,0
113,1,18,2,1,0,0,0,0,0,6260,0,3,3,0,1,0,0,0,3,1,0,28,0,1,0,1,1,1,0,0,0
114,3,36,4,1,0,0,0,0,0,7855,0,2,4,0,0,0,0,0,2,1,0,25,1,0,1,2,2,1,1,0,1
115,0,12,2,0,0,0,1,0,0,1680,2,4,3,0,0,1,0,0,1,1,0,35,0,0,1,1,2,1,0,0,0
116,3,48,4,0,0,0,1,0,0,3578,4,4,4,0,1,0,0,0,1,1,0,47,0,0,1,1,2,1,1,0,0
117,0,42,2,0,0,0,1,0,0,7174,4,3,4,0,0,0,0,0,3,0,0,30,0,0,1,1,3,1,1,0,1
118,0,10,4,0,0,1,0,0,0,2132,4,1,2,0,0,0,1,0,3,1,0,27,0,1,0,2,2,1,0,1,0
119,0,33,4,0,0,1,0,0,0,4281,2,2,1,0,0,0,0,0,4,0,0,23,0,0,1,2,2,1,0,0,1
120,1,12,4,1,0,0,0,0,0,2366,2,3,3,1,0,0,0,0,3,0,0,36,0,0,1,1,3,1,1,0,0
121,0,21,2,0,0,0,1,0,0,1835,0,2,3,0,0,0,0,0,2,1,0,25,0,0,1,2,2,1,1,0,1
122,3,24,4,0,1,0,0,0,0,3868,0,4,4,0,0,0,0,0,2,0,0,41,0,1,0,2,3,1,1,0,0
123,3,12,2,0,0,1,0,0,0,1768,0,2,3,0,1,0,0,0,2,1,0,24,0,1,0,1,1,1,0,0,0
124,2,10,4,1,0,0,0,0,0,781,0,4,4,0,1,0,0,0,4,0,1,63,0,0,0,2,2,1,1,0,0
125,1,18,2,0,0,1,0,0,0,1924,4,1,4,0,0,0,0,0,3,1,0,27,0,1,0,1,2,1,0,0,1
126,0,12,4,1,0,0,0,0,0,2121,0,2,4,0,1,0,0,0,2,0,0,30,0,0,1,2,2,1,0,0,0
127,0,12,2,0,0,0,1,0,0,701,0,2,4,0,0,1,0,0,2,1,0,40,0,0,1,1,1,1,0,0,0
128,1,12,2,0,0,0,0,0,0,639,0,2,4,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,0,0,1
129,1,12,4,0,1,0,0,0,0,1860,0,0,4,0,1,0,0,0,2,0,0,34,0,0,1,2,3,1,1,0,0
130,0,12,4,1,0,0,0,0,0,3499,0,2,3,0,0,0,1,0,2,1,0,29,0,0,1,2,2,1,0,0,1
131,1,48,2,1,0,0,0,0,0,8487,4,3,1,0,0,0,0,0,2,0,0,24,0,0,1,1,2,1,0,0,0
132,0,36,3,0,0,0,0,1,0,6887,0,2,4,0,1,0,0,0,3,0,0,29,1,0,1,1,2,1,1,0,1
133,3,15,2,0,0,1,0,0,0,2708,0,1,2,0,1,0,0,0,3,0,0,27,1,0,1,2,1,1,0,0,0
134,3,18,2,0,0,1,0,0,0,1984,0,2,4,0,1,0,0,0,4,0,1,47,1,0,0,2,2,1,0,0,0
135,3,60,2,0,0,0,1,0,0,10144,1,3,2,0,0,0,0,0,4,1,0,21,0,0,1,1,2,1,1,0,0
136,3,12,4,0,0,0,1,0,0,1240,4,4,4,0,0,0,0,0,2,1,0,38,0,0,1,2,2,1,1,0,0
137,3,27,3,0,1,0,0,0,0,8613,3,2,2,0,1,0,0,0,2,0,0,27,0,0,1,2,2,1,0,0,0
138,1,12,2,0,0,0,1,0,0,766,2,2,4,0,1,0,0,0,3,1,0,66,0,0,1,1,1,1,0,0,1
139,1,15,4,0,0,0,1,0,0,2728,4,3,4,0,1,0,0,1,2,1,0,35,1,0,1,3,2,1,1,0,0
140,2,12,2,0,0,0,1,0,0,1881,0,2,2,0,0,0,0,0,2,0,0,44,0,1,0,1,1,1,1,0,0
141,2,6,2,1,0,0,0,0,0,709,3,1,2,0,0,1,0,0,2,1,0,27,0,0,1,1,0,1,0,1,0
142,1,36,2,0,0,0,1,0,0,4795,0,1,4,0,0,0,0,0,1,0,1,30,0,0,1,1,3,1,1,0,0
143,0,27,2,0,0,0,1,0,0,3416,0,2,3,0,1,0,0,0,2,0,0,27,0,0,1,1,3,1,0,0,0
144,0,18,2,0,0,1,0,0,0,2462,0,2,2,0,1,0,0,0,2,0,0,22,0,0,1,1,2,1,0,0,1
145,3,21,4,0,0,1,0,0,0,2288,0,1,4,0,0,0,0,0,4,0,0,23,0,0,1,1,2,1,1,0,0
146,1,48,1,0,0,0,0,0,1,3566,1,3,4,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,0,0,0
147,0,6,4,1,0,0,0,0,0,860,0,4,1,0,0,0,0,0,4,0,1,39,0,0,1,2,2,1,1,0,0
148,3,12,4,1,0,0,0,0,0,682,1,3,4,0,0,0,0,0,3,0,0,51,0,0,1,2,2,1,1,0,0
149,0,36,4,0,0,1,0,0,0,5371,0,2,3,0,1,0,0,1,2,0,0,28,0,0,1,2,2,1,0,0,0
150,3,18,4,0,0,0,1,0,0,1582,3,4,4,0,1,0,0,0,4,0,0,46,0,0,1,2,2,1,0,0,0
151,3,6,2,0,0,0,1,0,0,1346,1,4,2,0,1,0,0,0,4,0,1,42,1,0,0,1,2,2,1,0,0
152,3,10,2,0,0,0,1,0,0,1924,0,2,1,0,1,0,0,0,4,0,0,38,0,0,1,1,2,1,1,1,0
153,2,36,2,0,0,0,1,0,0,5848,0,2,4,0,1,0,0,0,1,0,0,24,0,0,1,1,2,1,0,0,0
154,1,24,4,0,1,0,0,0,0,7758,3,4,2,0,0,0,0,0,4,0,1,29,0,1,0,1,2,1,0,0,0
155,1,24,3,0,0,0,0,0,1,6967,1,3,4,0,1,0,0,0,4,0,0,36,0,1,0,1,3,1,1,0,0
156,0,12,2,0,0,1,0,0,0,1282,0,2,2,0,0,0,0,0,4,0,0,20,0,1,0,1,2,1,0,0,1
157,0,9,4,0,0,0,0,0,0,1288,1,4,3,0,1,0,0,1,4,1,0,48,0,0,1,2,2,2,0,1,0
158,0,12,1,0,0,0,0,0,0,339,0,4,4,0,0,1,0,0,1,0,0,45,1,0,1,1,1,1,0,0,0
159,1,24,2,1,0,0,0,0,0,3512,1,3,2,0,1,0,0,0,3,0,0,38,1,0,1,2,2,1,1,0,0
160,3,6,4,0,0,0,1,0,0,1898,4,2,1,0,1,0,0,0,2,1,0,34,0,0,1,2,1,2,0,0,0
161,3,24,4,0,0,0,1,0,0,2872,1,4,3,0,1,0,0,0,4,1,0,36,0,0,1,1,2,2,1,0,0
162,3,18,4,1,0,0,0,0,0,1055,0,1,4,0,0,0,0,0,1,0,0,30,0,0,1,2,2,1,0,0,0
163,3,15,2,0,0,0,0,0,0,1262,2,3,4,0,1,0,0,0,3,0,0,36,0,0,1,2,2,1,1,0,0
164,1,10,2,1,0,0,0,0,0,7308,0,0,2,0,1,0,0,0,4,0,1,70,1,0,0,1,3,1,1,0,0
165,3,36,2,1,0,0,0,0,0,909,2,4,4,0,1,0,0,0,4,0,0,36,0,0,1,1,2,1,0,0,0
166,3,6,2,0,0,1,0,0,0,2978,2,2,1,0,1,0,0,0,2,0,0,32,0,0,1,1,2,1,1,0,0
167,0,18,2,0,0,1,0,0,0,1131,0,0,4,0,0,0,0,0,2,0,0,33,0,0,1,1,2,1,0,0,1
168,1,11,2,0,0,1,0,0,0,1577,3,1,4,0,0,0,0,0,1,1,0,20,0,0,1,1,2,1,0,0,0
169,3,24,2,0,0,1,0,0,0,3972,0,3,2,0,0,0,0,0,4,0,0,25,0,1,0,1,2,1,1,0,0
